Scenario,Region,Variable,Year,Value,Sector,Unit
Current Policies,New Brunswick,RPP,2012,16.2121,Electric Generation,Petajoules
Current Policies,New Brunswick,Other Renewables and Landfill Gas,2012,27.2936,Electric Generation,Petajoules
Current Policies,New Brunswick,"Coal, Coke and Coke Oven Gas",2012,18.078,Electric Generation,Petajoules
Current Policies,New Brunswick,Natural Gas,2013,21.4857,Electric Generation,Petajoules
Current Policies,New Brunswick,RPP,2013,13.3404,Electric Generation,Petajoules
Current Policies,New Brunswick,Other Renewables and Landfill Gas,2013,24.0695,Electric Generation,Petajoules
Current Policies,New Brunswick,"Coal, Coke and Coke Oven Gas",2013,20.6711,Electric Generation,Petajoules
Current Policies,New Brunswick,Natural Gas,2014,22.2438,Electric Generation,Petajoules
Current Policies,New Brunswick,RPP,2014,12.9101,Electric Generation,Petajoules
Current Policies,New Brunswick,Other Renewables and Landfill Gas,2014,24.2453,Electric Generation,Petajoules
Current Policies,New Brunswick,"Coal, Coke and Coke Oven Gas",2014,23.5259,Electric Generation,Petajoules
Current Policies,New Brunswick,Natural Gas,2015,25.5184,Electric Generation,Petajoules
Current Policies,New Brunswick,RPP,2015,8.9666,Electric Generation,Petajoules
Current Policies,New Brunswick,Other Renewables and Landfill Gas,2015,26.7345,Electric Generation,Petajoules
Current Policies,New Brunswick,"Coal, Coke and Coke Oven Gas",2015,18.9826,Electric Generation,Petajoules
Current Policies,New Brunswick,Natural Gas,2016,26.6294,Electric Generation,Petajoules
Current Policies,New Brunswick,RPP,2016,12.457,Electric Generation,Petajoules
Current Policies,New Brunswick,Other Renewables and Landfill Gas,2016,4.4172,Electric Generation,Petajoules
Current Policies,New Brunswick,"Coal, Coke and Coke Oven Gas",2016,19.078,Electric Generation,Petajoules
Current Policies,New Brunswick,Natural Gas,2017,13.743,Electric Generation,Petajoules
Current Policies,New Brunswick,RPP,2017,23.8544,Electric Generation,Petajoules
Current Policies,New Brunswick,Other Renewables and Landfill Gas,2017,5.6611,Electric Generation,Petajoules
Current Policies,New Brunswick,"Coal, Coke and Coke Oven Gas",2017,29.4094,Electric Generation,Petajoules
Current Policies,New Brunswick,Natural Gas,2018,10.3649,Electric Generation,Petajoules
Current Policies,New Brunswick,RPP,2018,27.5799,Electric Generation,Petajoules
Current Policies,New Brunswick,Other Renewables and Landfill Gas,2018,8.3324,Electric Generation,Petajoules
Current Policies,New Brunswick,"Coal, Coke and Coke Oven Gas",2018,32.7098,Electric Generation,Petajoules
Current Policies,New Brunswick,Natural Gas,2019,10.0502,Electric Generation,Petajoules
Current Policies,New Brunswick,RPP,2019,20.4099,Electric Generation,Petajoules
Current Policies,New Brunswick,Other Renewables and Landfill Gas,2019,8.5274,Electric Generation,Petajoules
Current Policies,New Brunswick,"Coal, Coke and Coke Oven Gas",2019,25.6033,Electric Generation,Petajoules
Current Policies,New Brunswick,Natural Gas,2020,10.8605,Electric Generation,Petajoules
Current Policies,New Brunswick,RPP,2020,35.7559,Electric Generation,Petajoules
Current Policies,New Brunswick,Other Renewables and Landfill Gas,2020,8.1442,Electric Generation,Petajoules
Current Policies,New Brunswick,"Coal, Coke and Coke Oven Gas",2020,22.2159,Electric Generation,Petajoules
Current Policies,New Brunswick,Natural Gas,2021,13.2972,Electric Generation,Petajoules
Current Policies,New Brunswick,RPP,2021,42.4288,Electric Generation,Petajoules
Current Policies,New Brunswick,Other Renewables and Landfill Gas,2021,8.6557,Electric Generation,Petajoules
